Source,Target,W,Weight,Sight
1,0,0.012928210971203185,0.012928210971203185,1
2,0,0.0055933191736689545,0.0055933191736689545,1
3,0,0.006945555226446593,0.006945555226446593,1
4,0,-0.009240269794228241,0.009240269794228241,0
5,0,0.0011412961397392072,0.0011412961397392072,1
6,0,0.013510808727585356,0.013510808727585356,1
7,0,0.006095991894786252,0.006095991894786252,1
8,0,0.06140942903531221,0.06140942903531221,1
9,0,0.011339484753342692,0.011339484753342692,1
0,1,0.003751551146838995,0.003751551146838995,1
2,1,-0.004343876762836487,0.004343876762836487,0
3,1,0.004736229040158269,0.004736229040158269,1
4,1,-0.010814727678902115,0.010814727678902115,0
5,1,-0.013719986057557546,0.013719986057557546,0
6,1,0.010062201107526009,0.010062201107526009,1
7,1,0.02747963128502226,0.02747963128502226,1
8,1,0.0069244168856570755,0.0069244168856570755,1
9,1,0.03445454154939029,0.03445454154939029,1
0,2,0.0010387400781656992,0.0010387400781656992,1
1,2,0.008741086677010014,0.008741086677010014,1
3,2,-0.032454457236950986,0.032454457236950986,0
4,2,-0.065717860812783,0.065717860812783,0
5,2,0.06201762314681315,0.06201762314681315,1
6,2,-0.046089818560797004,0.046089818560797004,0
7,2,-0.06235897412490369,0.06235897412490369,0
8,2,0.016486528459295373,0.016486528459295373,1
9,2,0.04010324811085166,0.04010324811085166,1
0,3,0.0026168832372341073,0.0026168832372341073,1
1,3,-0.002775724806751876,0.002775724806751876,0
2,3,0.0013843900052534996,0.0013843900052534996,1
4,3,0.003586971664709002,0.003586971664709002,1
5,3,-0.007818008527563477,0.007818008527563477,0
6,3,0.013180503267940307,0.013180503267940307,1
7,3,0.00294554936759419,0.00294554936759419,1
8,3,0.0004740460042608339,0.0004740460042608339,1
9,3,-0.02158633739537859,0.02158633739537859,0
0,4,0.005246842885161016,0.005246842885161016,1
1,4,-0.0110092166570947,0.0110092166570947,0
2,4,-0.023791333959724496,0.023791333959724496,0
3,4,-0.010770797131676326,0.010770797131676326,0
5,4,-0.0029878931695089075,0.0029878931695089075,0
6,4,0.006339252939564181,0.006339252939564181,1
7,4,-0.005953059534844929,0.005953059534844929,0
8,4,-0.03199082474152421,0.03199082474152421,0
9,4,-0.01646616149899444,0.01646616149899444,0
0,5,0.005031998341135653,0.005031998341135653,1
1,5,-0.00905824720343962,0.00905824720343962,0
2,5,0.01641344027637648,0.01641344027637648,1
3,5,0.003364441912559211,0.003364441912559211,1
4,5,-0.03148296450315596,0.03148296450315596,0
6,5,-0.03700442464486296,0.03700442464486296,0
7,5,0.007746813592661484,0.007746813592661484,1
8,5,-0.026813154093765713,0.026813154093765713,0
9,5,-0.028114042922384022,0.028114042922384022,0
0,6,-0.0033999065607333784,0.0033999065607333784,0
1,6,0.002448607756185389,0.002448607756185389,1
2,6,-0.012428684651426864,0.012428684651426864,0
3,6,0.012941375040959947,0.012941375040959947,1
4,6,-0.0009144961832419875,0.0009144961832419875,0
5,6,-0.01373099940295066,0.01373099940295066,0
7,6,-0.005183930262421842,0.005183930262421842,0
8,6,-0.009309857061257525,0.009309857061257525,0
9,6,0.00649727567221506,0.00649727567221506,1
0,7,0.005641408047420185,0.005641408047420185,1
1,7,-0.0030239519023113628,0.0030239519023113628,0
2,7,-0.0301351575090867,0.0301351575090867,0
3,7,-0.056273864140267284,0.056273864140267284,0
4,7,0.021519047570465882,0.021519047570465882,1
5,7,0.0389027047279698,0.0389027047279698,1
6,7,0.004940569572273661,0.004940569572273661,1
8,7,-0.06320383716192589,0.06320383716192589,0
9,7,0.02450536432708127,0.02450536432708127,1
0,8,0.01995701942497923,0.01995701942497923,1
1,8,-0.005336805894955623,0.005336805894955623,0
2,8,0.002469556008965553,0.002469556008965553,1
3,8,-0.013215378649340736,0.013215378649340736,0
4,8,-0.0028254398142275503,0.0028254398142275503,0
5,8,0.021966377493978496,0.021966377493978496,1
6,8,0.036192708271925285,0.036192708271925285,1
7,8,-0.042057220093355226,0.042057220093355226,0
9,8,0.010582577530310838,0.010582577530310838,1
0,9,-0.01184535798415365,0.01184535798415365,0
1,9,-0.0006547253198783498,0.0006547253198783498,0
2,9,-0.023746772667750497,0.023746772667750497,0
3,9,-0.011947549806660778,0.011947549806660778,0
4,9,0.026209508015151883,0.026209508015151883,1
5,9,-0.04274587579007167,0.04274587579007167,0
6,9,-0.015206575807375361,0.015206575807375361,0
7,9,-0.017355662889409918,0.017355662889409918,0
8,9,0.002296903529367686,0.002296903529367686,1
