Source,Target,W,Weight,Sight
1,0,0.0028907823470339586,0.0028907823470339586,1
2,0,0.008743678092315252,0.008743678092315252,1
3,0,-0.007294232985173758,0.007294232985173758,0
4,0,-0.007399886916484156,0.007399886916484156,0
5,0,0.017789899547480486,0.017789899547480486,1
6,0,0.027561804859125877,0.027561804859125877,1
7,0,-0.008911879540941598,0.008911879540941598,0
8,0,0.015398569980348565,0.015398569980348565,1
9,0,0.012987109340360832,0.012987109340360832,1
0,1,0.002678646179170995,0.002678646179170995,1
2,1,-0.00790169203634306,0.00790169203634306,0
3,1,0.018333667946656945,0.018333667946656945,1
4,1,-0.015336560921731092,0.015336560921731092,0
5,1,-0.009331404874684809,0.009331404874684809,0
6,1,-0.005253542338301269,0.005253542338301269,0
7,1,0.022267004056416944,0.022267004056416944,1
8,1,-0.007211107642920793,0.007211107642920793,0
9,1,-0.006129497068716606,0.006129497068716606,0
0,2,0.0062992869804651104,0.0062992869804651104,1
1,2,-0.006152659258965426,0.006152659258965426,0
3,2,0.014175340720094473,0.014175340720094473,1
4,2,-0.03315849642468935,0.03315849642468935,0
5,2,0.006780605921184624,0.006780605921184624,1
6,2,-0.0028548805618218566,0.0028548805618218566,0
7,2,-0.03133854103528229,0.03133854103528229,0
8,2,-0.01542420586852508,0.01542420586852508,0
9,2,0.006112967303690625,0.006112967303690625,1
0,3,1.9261594529598015e-05,1.9261594529598015e-05,1
1,3,0.0016343897425925094,0.0016343897425925094,1
2,3,0.004369690252524955,0.004369690252524955,1
4,3,0.009957945089363892,0.009957945089363892,1
5,3,0.0041313480683823406,0.0041313480683823406,1
6,3,0.01610327925529967,0.01610327925529967,1
7,3,-0.021010423086360707,0.021010423086360707,0
8,3,-0.01686454189334474,0.01686454189334474,0
9,3,0.00846331212615834,0.00846331212615834,1
0,4,-0.003617825900070142,0.003617825900070142,0
1,4,-0.007772024174333054,0.007772024174333054,0
2,4,-0.015714198600686798,0.015714198600686798,0
3,4,0.008099845178613294,0.008099845178613294,1
5,4,-0.003770226184975939,0.003770226184975939,0
6,4,0.005954984537896187,0.005954984537896187,1
7,4,0.0020618959809017763,0.0020618959809017763,1
8,4,-0.0024343461952301454,0.0024343461952301454,0
9,4,0.0025756207721695404,0.0025756207721695404,1
0,5,0.00974845914708473,0.00974845914708473,1
1,5,-0.001993043735398898,0.001993043735398898,0
2,5,0.002308640892275786,0.002308640892275786,1
3,5,0.004606049365707474,0.004606049365707474,1
4,5,-0.0034171530117410778,0.0034171530117410778,0
6,5,-0.007443113529168907,0.007443113529168907,0
7,5,0.020447314033782076,0.020447314033782076,1
8,5,-0.010343533257726623,0.010343533257726623,0
9,5,-0.01995781789029628,0.01995781789029628,0
0,6,0.006280414095513398,0.006280414095513398,1
1,6,-0.0020670203130563995,0.0020670203130563995,0
2,6,-0.002084996224054461,0.002084996224054461,0
3,6,0.015744510772709813,0.015744510772709813,1
4,6,0.002488318879208509,0.002488318879208509,1
5,6,-0.007654933274722506,0.007654933274722506,0
7,6,0.007327271250430106,0.007327271250430106,1
8,6,0.009665178853155048,0.009665178853155048,1
9,6,-0.020095265978397083,0.020095265978397083,0
0,7,-0.005343970965026588,0.005343970965026588,0
1,7,0.008967248472919794,0.008967248472919794,1
2,7,-0.00816290672820353,0.00816290672820353,0
3,7,-0.013130117131199472,0.013130117131199472,0
4,7,-0.0005877838766634525,0.0005877838766634525,0
5,7,0.016299071259155296,0.016299071259155296,1
6,7,-0.0065565180775230885,0.0065565180775230885,0
8,7,-0.00412594501574232,0.00412594501574232,0
9,7,0.026527382468915593,0.026527382468915593,1
0,8,0.011068282176160293,0.011068282176160293,1
1,8,-0.007543316360139729,0.007543316360139729,0
2,8,-0.0022812488316671215,0.0022812488316671215,0
3,8,-0.016317005444648158,0.016317005444648158,0
4,8,0.006756804909503368,0.006756804909503368,1
5,8,-3.2225612107886435e-06,3.2225612107886435e-06,0
6,8,0.035269085147598675,0.035269085147598675,1
7,8,-0.012356265579465793,0.012356265579465793,0
9,8,-0.014446027855448065,0.014446027855448065,0
0,9,0.002016997703913906,0.002016997703913906,1
1,9,-0.005331975560448216,0.005331975560448216,0
2,9,0.0021517019659149567,0.0021517019659149567,1
3,9,0.0048395379409023834,0.0048395379409023834,1
4,9,0.014772533063151072,0.014772533063151072,1
5,9,-0.020147380742201015,0.020147380742201015,0
6,9,-0.004102961305393021,0.004102961305393021,0
7,9,0.02520748112874106,0.02520748112874106,1
8,9,-0.014992775627114763,0.014992775627114763,0
