Source,Target,W,Weight,Sight
1,0,0.001727991992901169,0.001727991992901169,1
2,0,0.006419420302775208,0.006419420302775208,1
3,0,0.0004821717915866854,0.0004821717915866854,1
4,0,-0.013029625334497226,0.013029625334497226,0
5,0,0.008306478153594121,0.008306478153594121,1
6,0,0.025257408590339477,0.025257408590339477,1
7,0,-0.007517479793564189,0.007517479793564189,0
8,0,0.0013612722397228776,0.0013612722397228776,1
9,0,0.008006716428957858,0.008006716428957858,1
0,1,-0.0008177010234310031,0.0008177010234310031,0
2,1,-0.007615404269869744,0.007615404269869744,0
3,1,0.010471774511987992,0.010471774511987992,1
4,1,-0.01656021121618845,0.01656021121618845,0
5,1,-0.004832520340142181,0.004832520340142181,0
6,1,-0.007541761898290262,0.007541761898290262,0
7,1,0.019871601300489063,0.019871601300489063,1
8,1,-0.00663852528947768,0.00663852528947768,0
9,1,-0.000736564244754981,0.000736564244754981,0
0,2,0.00010053522113345889,0.00010053522113345889,1
1,2,-0.012391393405871915,0.012391393405871915,0
3,2,0.010919777741885087,0.010919777741885087,1
4,2,-0.019181096145795135,0.019181096145795135,0
5,2,-0.003569071488708273,0.003569071488708273,0
6,2,0.0030290926063745206,0.0030290926063745206,1
7,2,-0.023133645273922872,0.023133645273922872,0
8,2,-0.013237541834488031,0.013237541834488031,0
9,2,0.015713648186547895,0.015713648186547895,1
0,3,-0.0019572000297193924,0.0019572000297193924,0
1,3,0.005569410752096905,0.005569410752096905,1
2,3,0.005449996494297145,0.005449996494297145,1
4,3,0.003979688827088489,0.003979688827088489,1
5,3,-0.003296513065327069,0.003296513065327069,0
6,3,0.007823241833862923,0.007823241833862923,1
7,3,-0.010248696323027976,0.010248696323027976,0
8,3,-0.013182176224479102,0.013182176224479102,0
9,3,0.004924086624070019,0.004924086624070019,1
0,4,-0.007587664442542259,0.007587664442542259,0
1,4,-0.010211965855353217,0.010211965855353217,0
2,4,-0.01323485179120048,0.01323485179120048,0
3,4,0.0041883688953460755,0.0041883688953460755,1
5,4,-0.005127927315862638,0.005127927315862638,0
6,4,0.00952645898662818,0.00952645898662818,1
7,4,-0.0007629640309753588,0.0007629640309753588,0
8,4,-0.005836688389993011,0.005836688389993011,0
9,4,0.004468974023190834,0.004468974023190834,1
0,5,0.007635365116707495,0.007635365116707495,1
1,5,-0.004112941000884349,0.004112941000884349,0
2,5,0.001478591488094812,0.001478591488094812,1
3,5,-0.0038565557487938657,0.0038565557487938657,0
4,5,-0.004742783854601853,0.004742783854601853,0
6,5,-5.189996754354296e-05,5.189996754354296e-05,0
7,5,0.012774370536035001,0.012774370536035001,1
8,5,-0.007341409529984601,0.007341409529984601,0
9,5,-0.01744282664727878,0.01744282664727878,0
0,6,0.009154596910833342,0.009154596910833342,1
1,6,-0.0027330074280693664,0.0027330074280693664,0
2,6,-0.001812808430418964,0.001812808430418964,0
3,6,0.005752802241255724,0.005752802241255724,1
4,6,0.00748018279697752,0.00748018279697752,1
5,6,0.003207401000163004,0.003207401000163004,1
7,6,0.0012750711571878996,0.0012750711571878996,1
8,6,0.018667832862794092,0.018667832862794092,1
9,6,0.00017132366620168437,0.00017132366620168437,1
0,7,-0.005076622500464423,0.005076622500464423,0
1,7,0.005909867429441316,0.005909867429441316,1
2,7,-0.006342029205284859,0.006342029205284859,0
3,7,0.0014242652299609614,0.0014242652299609614,1
4,7,0.007664737000095049,0.007664737000095049,1
5,7,0.015624678111371965,0.015624678111371965,1
6,7,0.005427922880012177,0.005427922880012177,1
8,7,-0.000741308231402035,0.000741308231402035,0
9,7,0.027428577161412192,0.027428577161412192,1
0,8,0.005696699851779034,0.005696699851779034,1
1,8,-0.005616975151852842,0.005616975151852842,0
2,8,-0.001931964818478811,0.001931964818478811,0
3,8,-0.005656084117890997,0.005656084117890997,0
4,8,-0.0032823719482003087,0.0032823719482003087,0
5,8,-0.01440697053263732,0.01440697053263732,0
6,8,0.027418361868903663,0.027418361868903663,1
7,8,-0.016117814009522204,0.016117814009522204,0
9,8,-0.016832363664533712,0.016832363664533712,0
0,9,0.009221130109912736,0.009221130109912736,1
1,9,0.010001771167143268,0.010001771167143268,1
2,9,0.004365451455061122,0.004365451455061122,1
3,9,-0.0003030227266141216,0.0003030227266141216,0
4,9,0.003495529859188843,0.003495529859188843,1
5,9,-0.00778890054211545,0.00778890054211545,0
6,9,0.0007932721166658685,0.0007932721166658685,1
7,9,0.03333534819451574,0.03333534819451574,1
8,9,-0.013862915913573946,0.013862915913573946,0
